Name,Channel,Start_day,Start_time,End_day,End_time,Frames,CD,Filter frame,Durations
NVR-CH06_S20210609-110211_E20210609-110251.mp4,6,2021-09-06,11:02:11,09/06/2021,11:02:51,401,0,FALSE,0:00:40
NVR-CH06_S20210609-112729_E20210609-112828.mp4,6,2021-09-06,11:27:29,09/06/2021,11:28:28,601,0,FALSE,0:00:59
NVR-CH06_S20210609-085656_E20210609-085740.mp4,6,2021-09-06,8:56:56,09/06/2021,8:57:40,441,0,FALSE,0:00:44
NVR-CH06_S20210608-081721_E20210608-082317.mp4,6,2021-08-06,8:17:21,08/06/2021,8:23:17,3561,0,TRUE,0:05:56
NVR-CH06_S20210609-111539_E20210609-111613.mp4,6,2021-09-06,11:15:39,09/06/2021,11:16:13,321,0,FALSE,0:00:34
NVR-CH06_S20210609-085512_E20210609-085537.mp4,6,2021-09-06,8:55:12,09/06/2021,8:55:37,241,0,FALSE,0:00:25
NVR-CH06_S20210608-174855_E20210608-174934.mp4,6,2021-08-06,17:48:55,08/06/2021,17:49:34,401,0,FALSE,0:00:39
NVR-CH06_S20210609-082601_E20210609-083525.mp4,6,2021-09-06,8:26:01,09/06/2021,8:35:25,5641,0,TRUE,0:09:24
NVR-CH06_S20210608-111753_E20210608-111910.mp4,6,2021-08-06,11:17:53,08/06/2021,11:19:10,761,0,FALSE,0:01:17
NVR-CH06_S20210609-112701_E20210609-112739.mp4,6,2021-09-06,11:27:01,09/06/2021,11:27:39,401,0,FALSE,0:00:38
NVR-CH06_S20210608-175927_E20210608-175950.mp4,6,2021-08-06,17:59:27,08/06/2021,17:59:50,218,0,FALSE,0:00:23
NVR-CH06_S20210608-180304_E20210608-180348.mp4,6,2021-08-06,18:03:04,08/06/2021,18:03:48,441,0,FALSE,0:00:44
NVR-CH06_S20210609-113012_E20210609-113322.mp4,6,2021-09-06,11:30:12,09/06/2021,11:33:22,1921,0,TRUE,0:03:10
NVR-CH06_S20210609-111012_E20210609-111057.mp4,6,2021-09-06,11:10:12,09/06/2021,11:10:57,441,0,FALSE,0:00:45
NVR-CH06_S20210609-084742_E20210609-084808.mp4,6,2021-09-06,8:47:42,09/06/2021,8:48:08,241,0,FALSE,0:00:26
NVR-CH06_S20210608-173044_E20210608-173106.mp4,6,2021-08-06,17:30:44,08/06/2021,17:31:06,201,0,FALSE,0:00:22
NVR-CH06_S20210609-111615_E20210609-111734.mp4,6,2021-09-06,11:16:15,09/06/2021,11:17:34,801,0,FALSE,0:01:19
NVR-CH06_S20210608-174335_E20210608-174522.mp4,6,2021-08-06,17:43:35,08/06/2021,17:45:22,1081,0,TRUE,0:01:47
NVR-CH06_S20210608-173400_E20210608-173424.mp4,6,2021-08-06,17:34:00,08/06/2021,17:34:24,241,0,FALSE,0:00:24
NVR-CH06_S20210608-175639_E20210608-175710.mp4,6,2021-08-06,17:56:39,08/06/2021,17:57:10,321,0,FALSE,0:00:31
NVR-CH06_S20210609-084613_E20210609-084646.mp4,6,2021-09-06,8:46:13,09/06/2021,8:46:46,361,0,FALSE,0:00:33
NVR-CH06_S20210608-175242_E20210608-175327.mp4,6,2021-08-06,17:52:42,08/06/2021,17:53:27,441,0,FALSE,0:00:45
NVR-CH06_S20210609-182158_E20210609-182249.mp4,6,2021-09-06,18:21:58,09/06/2021,18:22:49,521,0,FALSE,0:00:51
NVR-CH06_S20210608-174549_E20210608-174624.mp4,6,2021-08-06,17:45:49,08/06/2021,17:46:24,321,0,FALSE,0:00:35
NVR-CH06_S20210609-112636_E20210609-112707.mp4,6,2021-09-06,11:26:36,09/06/2021,11:27:07,321,0,FALSE,0:00:31
NVR-CH06_S20210608-173153_E20210608-173355.mp4,6,2021-08-06,17:31:53,08/06/2021,17:33:55,1241,0,TRUE,0:02:02
NVR-CH06_S20210609-110043_E20210609-110123.mp4,6,2021-09-06,11:00:43,09/06/2021,11:01:23,401,0,FALSE,0:00:40
NVR-CH06_S20210609-182013_E20210609-182117.mp4,6,2021-09-06,18:20:13,09/06/2021,18:21:17,641,0,FALSE,0:01:04
NVR-CH06_S20210608-181540_E20210608-181622.mp4,6,2021-08-06,18:15:40,08/06/2021,18:16:22,401,0,FALSE,0:00:42
NVR-CH06_S20210608-182306_E20210608-182341.mp4,6,2021-08-06,18:23:06,08/06/2021,18:23:41,361,0,FALSE,0:00:35
NVR-CH06_S20210608-182338_E20210608-182408.mp4,6,2021-08-06,18:23:38,08/06/2021,18:24:08,281,0,FALSE,0:00:30
NVR-CH06_S20210609-112339_E20210609-112406.mp4,6,2021-09-06,11:23:39,09/06/2021,11:24:06,281,0,FALSE,0:00:27
NVR-CH06_S20210609-110941_E20210609-111019.mp4,6,2021-09-06,11:09:41,09/06/2021,11:10:19,401,0,FALSE,0:00:38
NVR-CH06_S20210608-082418_E20210608-082517.mp4,6,2021-08-06,8:24:18,08/06/2021,8:25:17,581,0,FALSE,0:00:59
NVR-CH06_S20210608-175827_E20210608-175901.mp4,6,2021-08-06,17:58:27,08/06/2021,17:59:01,321,0,FALSE,0:00:34
NVR-CH06_S20210608-181342_E20210608-181427.mp4,6,2021-08-06,18:13:42,08/06/2021,18:14:27,481,0,FALSE,0:00:45
NVR-CH06_S20210609-111054_E20210609-111135.mp4,6,2021-09-06,11:10:54,09/06/2021,11:11:35,401,0,FALSE,0:00:41
NVR-CH06_S20210609-112558_E20210609-112646.mp4,6,2021-09-06,11:25:58,09/06/2021,11:26:46,481,0,FALSE,0:00:48
NVR-CH06_S20210609-174542_E20210609-174612.mp4,6,2021-09-06,17:45:42,09/06/2021,17:46:12,281,0,FALSE,0:00:30
NVR-CH06_S20210608-190709_E20210608-190721.mp4,6,2021-08-06,19:07:09,08/06/2021,19:07:21,131,0,FALSE,0:00:12
NVR-CH06_S20210608-174757_E20210608-174853.mp4,6,2021-08-06,17:47:57,08/06/2021,17:48:53,561,0,FALSE,0:00:56
NVR-CH06_S20210607-145837_E20210607-150102.mp4,6,2021-07-06,14:58:37,07/06/2021,15:01:02,1438,0,TRUE,0:02:25
NVR-CH06_S20210609-110318_E20210609-110353.mp4,6,2021-09-06,11:03:18,09/06/2021,11:03:53,361,0,FALSE,0:00:35
NVR-CH06_S20210609-111513_E20210609-111543.mp4,6,2021-09-06,11:15:13,09/06/2021,11:15:43,321,0,FALSE,0:00:30
NVR-CH06_S20210608-181645_E20210608-181715.mp4,6,2021-08-06,18:16:45,08/06/2021,18:17:15,301,0,FALSE,0:00:30
NVR-CH06_S20210609-112502_E20210609-112511.mp4,6,2021-09-06,11:25:02,09/06/2021,11:25:11,81,0,FALSE,0:00:09
NVR-CH06_S20210609-111434_E20210609-111513.mp4,6,2021-09-06,11:14:34,09/06/2021,11:15:13,361,0,FALSE,0:00:39
NVR-CH06_S20210608-112537_E20210608-112642.mp4,6,2021-08-06,11:25:37,08/06/2021,11:26:42,641,0,FALSE,0:01:05
NVR-CH06_S20210608-173659_E20210608-173726.mp4,6,2021-08-06,17:36:59,08/06/2021,17:37:26,241,0,FALSE,0:00:27
NVR-CH06_S20210609-113320_E20210609-113431.mp4,6,2021-09-06,11:33:20,09/06/2021,11:34:31,721,0,FALSE,0:01:11
NVR-CH06_S20210608-175716_E20210608-175724.mp4,6,2021-08-06,17:57:16,08/06/2021,17:57:24,101,0,FALSE,0:00:08
NVR-CH06_S20210608-174524_E20210608-174550.mp4,6,2021-08-06,17:45:24,08/06/2021,17:45:50,281,0,FALSE,0:00:26
NVR-CH06_S20210608-175129_E20210608-175157.mp4,6,2021-08-06,17:51:29,08/06/2021,17:51:57,281,0,FALSE,0:00:28
NVR-CH06_S20210609-083517_E20210609-083549.mp4,6,2021-09-06,8:35:17,09/06/2021,8:35:49,321,0,FALSE,0:00:32
NVR-CH06_S20210609-181333_E20210609-181420.mp4,6,2021-09-06,18:13:33,09/06/2021,18:14:20,481,0,FALSE,0:00:47
NVR-CH06_S20210607-121005_E20210607-121221.mp4,6,2021-07-06,12:10:05,07/06/2021,12:12:21,1342,0,TRUE,0:02:16
NVR-CH06_S20210608-082312_E20210608-082350.mp4,6,2021-08-06,8:23:12,08/06/2021,8:23:50,401,0,FALSE,0:00:38
NVR-CH06_S20210608-174742_E20210608-174803.mp4,6,2021-08-06,17:47:42,08/06/2021,17:48:03,201,0,FALSE,0:00:21
NVR-CH06_S20210608-112356_E20210608-112429.mp4,6,2021-08-06,11:23:56,08/06/2021,11:24:29,321,0,FALSE,0:00:33
NVR-CH06_S20210609-111342_E20210609-111423.mp4,6,2021-09-06,11:13:42,09/06/2021,11:14:23,401,0,FALSE,0:00:41
NVR-CH06_S20210608-181255_E20210608-181338.mp4,6,2021-08-06,18:12:55,08/06/2021,18:13:38,401,0,FALSE,0:00:43
NVR-CH06_S20210609-171849_E20210609-171938.mp4,6,2021-09-06,17:18:49,09/06/2021,17:19:38,501,0,FALSE,0:00:49
NVR-CH06_S20210607-174702_E20210607-174939.mp4,6,2021-07-06,17:47:02,07/06/2021,17:49:39,1552,0,TRUE,0:02:37
NVR-CH06_S20210609-120755_E20210609-120824.mp4,6,2021-09-06,12:07:55,09/06/2021,12:08:24,321,0,FALSE,0:00:29
NVR-CH06_S20210608-081252_E20210608-081724.mp4,6,2021-08-06,8:12:52,08/06/2021,8:17:24,2721,0,TRUE,0:04:32
NVR-CH06_S20210609-085118_E20210609-085205.mp4,6,2021-09-06,8:51:18,09/06/2021,8:52:05,441,0,FALSE,0:00:47
NVR-CH06_S20210609-112511_E20210609-112607.mp4,6,2021-09-06,11:25:11,09/06/2021,11:26:07,541,0,FALSE,0:00:56
NVR-CH06_S20210608-173834_E20210608-173859.mp4,6,2021-08-06,17:38:34,08/06/2021,17:38:59,281,0,FALSE,0:00:25
NVR-CH06_S20210608-180339_E20210608-180410.mp4,6,2021-08-06,18:03:39,08/06/2021,18:04:10,281,0,FALSE,0:00:31
NVR-CH06_S20210609-085155_E20210609-085250.mp4,6,2021-09-06,8:51:55,09/06/2021,8:52:50,561,0,FALSE,0:00:55
NVR-CH06_S20210608-175854_E20210608-175926.mp4,6,2021-08-06,17:58:54,08/06/2021,17:59:26,301,0,FALSE,0:00:32
NVR-CH06_S20210608-174039_E20210608-174143.mp4,6,2021-08-06,17:40:39,08/06/2021,17:41:43,641,0,FALSE,0:01:04
NVR-CH06_S20210609-173656_E20210609-173805.mp4,6,2021-09-06,17:36:56,09/06/2021,17:38:05,681,0,FALSE,0:01:09
NVR-CH06_S20210608-112037_E20210608-112125.mp4,6,2021-08-06,11:20:37,08/06/2021,11:21:25,481,0,FALSE,0:00:48
NVR-CH06_S20210609-110419_E20210609-110444.mp4,6,2021-09-06,11:04:19,09/06/2021,11:04:44,281,0,FALSE,0:00:25
NVR-CH06_S20210608-115322_E20210608-115718.mp4,6,2021-08-06,11:53:22,08/06/2021,11:57:18,2361,0,TRUE,0:03:56
